Article Index,Ticker,Source,Date,Article Headline,URL,Neutral,Positive,Negative,Sentiment,Returns
4890,BP,Investment Research,2019-02-20,Reaffirming BUY and $52 price target,,0.3607581177105506,0.2949525673563281,0.3442893413205941,Neutral,0.002359648478468035
4882,BP,Investment Research,2019-05-06,Reiterating BUY and $52 price target,,0.03786911318699513,0.6268814305464426,0.3352494531621535,Positive,-0.003481841737743019
7399,BP,ProQuest,2019-05-22,BP bosses get a public grilling on climate from largest investors; Chairman tells shareholders company is willing to lead energy transition,https://www.proquest.com/newspapers/bp-bosses-get-public-grilling-on-climate-largest/docview/2229019635/se-2?accountid=7064,0.08703084662556645,0.21928393095731735,0.6936852633953094,Negative,-0.009590649321604916
7400,BP,ProQuest,2019-05-22,"BP bosses get public grilling on climate from largest investors; 'Details are what we need,'says fund manager",https://www.proquest.com/newspapers/bp-bosses-get-public-grilling-on-climate-largest/docview/2229010582/se-2?accountid=7064,0.0904333218932151,0.19685468077659604,0.7127119898796082,Negative,-0.009590649321604916
7398,BP,ProQuest,2019-05-23,"Saudi Aramco starts fuel trading from UAE with ex-BP, Pemex hires",https://www.proquest.com/newspapers/saudi-aramco-starts-fuel-trading-uae-with-ex-bp/docview/2229495532/se-2?accountid=7064,0.1813917066901922,0.01775936037302015,0.8008489906787872,Negative,-0.023618358700305597
7397,BP,ProQuest,2019-05-31,"Why the CEOs of Shell, BP, and 11 other major corporations have decided to lobby DC for climate change legislation",https://www.proquest.com/newspapers/why-ceos-shell-bp-11-other-major-corporations/docview/2402425349/se-2?accountid=7064,0.13550350069999695,0.02562134526669975,0.8388751745223999,Negative,-0.00755545589212947
4872,BP,Investment Research,2019-06-11,BP plc – BP:  An undisclosed SEC investigation is again confirmed.,,0.0192593894898891,0.1523746363818645,0.8283659517765045,Negative,0.006178807416612697
7396,BP,ProQuest,2019-06-11,"Reliance, BP to develop third gas project in India",https://www.proquest.com/newspapers/reliance-bp-develop-third-gas-project-india/docview/2238046543/se-2?accountid=7064,0.5402053147554398,0.00821182923391455,0.45158280432224274,Neutral,0.006178807416612697
7394,BP,ProQuest,2019-06-12,"Business News: BP Charts Record U.S. Oil, Gas Output --- Shale boom, increase in demand drove rise in U.S. production, energy giant says",https://www.proquest.com/newspapers/business-news-bp-charts-record-u-s-oil-gas-output/docview/2238458473/se-2?accountid=7064,0.48195789568126207,0.31366412714123726,0.2043779846280813,Neutral,-0.030231388122056724
7395,BP,ProQuest,2019-06-12,"RIL, BP to Develop MJ Deep-water Fields [Companies & Economy]: Cos, along with two ongoing projects, expect to produce 1 bcf gas per day from 2020 to 2022",https://www.proquest.com/newspapers/ril-bp-develop-mj-deep-water-fields-companies-amp/docview/2238246899/se-2?accountid=7064,0.696001797914505,0.0227496456354856,0.28124854713678354,Neutral,-0.030231388122056724
7393,BP,ProQuest,2019-06-22,BP PLC,https://www.proquest.com/newspapers/bp-plc/docview/2244415497/se-2?accountid=7064,0.059458360075950595,0.031320565380156,0.9092211127281189,Negative,-0.0016954985404079581
7392,BP,ProQuest,2019-07-12,"World News: U.K. Says It Foiled Iran Bid to Block Ship --- Royal Navy intervenes to let a BP oil tanker sail through, as Tehran denies any interference",https://www.proquest.com/newspapers/world-news-u-k-says-foiled-iran-bid-block-ship/docview/2256018016/se-2?accountid=7064,0.038079703847567196,0.7863617539405823,0.17555853724479675,Positive,-0.0016954985404079581
7390,BP,ProQuest,2019-07-13,"'The best pension investment person on planet earth'; As Jim Keohane enters the final stretch in charge of HOOPP, - Canada's fifth-largest public-sector pension - the question arises of whether a successor can walk the line of risk management as successfully",https://www.proquest.com/newspapers/best-pension-investment-person-on-planet-earth-as/docview/2257088783/se-2?accountid=7064,0.14048353815451262,0.1355764183681458,0.7239400446414948,Negative,-0.011201440126964557
7391,BP,ProQuest,2019-07-13,"The Best pension investment person on planet earth'; As Jim Keohane enters the final stretch in charge of HOOPP, - Canada's fifth-largest public-sector pension - the question arises of whether a successor can walk the line of risk management as successfully",https://www.proquest.com/newspapers/best-pension-investment-person-on-planet-earth-as/docview/2257088132/se-2?accountid=7064,0.14378863060846922,0.13560592127032575,0.7206054553389549,Negative,-0.011201440126964557
7389,BP,ProQuest,2019-07-18,"Boeing hired the lawyer who managed funds for 9/11, Boston Marathon bombing, and BP oil spill victims to distribute $50 million to 737 Max crash families",https://www.proquest.com/newspapers/boeing-hired-lawyer-who-managed-funds-9-11-boston/docview/2399952441/se-2?accountid=7064,0.0530798695981502,0.3900402542203665,0.5568798705935478,Negative,-0.011201440126964557
7388,BP,ProQuest,2019-07-22,BP Boosts Its Biofuels Business with Brazilian Joint Venture; The transaction is set to boost the U.K. oil company's bioenergy business by 50%,https://www.proquest.com/newspapers/bp-boosts-biofuels-business-with-brazilian-joint/docview/2261279960/se-2?accountid=7064,0.27610390447080135,0.0269862916320562,0.6969098299741745,Negative,0.003058726477683349
7387,BP,ProQuest,2019-07-23,Business News: BP Boosts Bet on Biofuels --- Company enters into joint venture with Bunge to make ethanol from sugar cane,https://www.proquest.com/newspapers/business-news-bp-boosts-bet-on-biofuels-company/docview/2261996347/se-2?accountid=7064,0.33349620364606375,0.0162900574505329,0.6502137929201126,Negative,0.003049653347979131
7386,BP,ProQuest,2019-07-29,World: When criticism against questionable sponsors changes the art world,https://www.proquest.com/newspapers/world-when-criticism-against-questionable/docview/2265019314/se-2?accountid=7064,0.0591011084616184,0.4451764188706875,0.4957224826018016,Negative,0.0028219115699272823
4862,BP,Investment Research,2019-07-31,Reaffirming BUY and $52 price target,,0.020989918770889366,0.6579360341032346,0.3210740660627683,Positive,-0.0062517724483870385
7383,BP,ProQuest,2019-08-06,"Reliance, BP announce new joint venture to set up 5,500 petrol pumps",https://www.proquest.com/newspapers/reliance-bp-announce-new-joint-venture-set-up-5/docview/2463580737/se-2?accountid=7064,0.495720237493515,0.0082789240404963,0.4960007667541504,Negative,-0.0013277664511922582
7384,BP,ProQuest,2019-08-06,"Reliance-BP ink new fuel retail JV; to set up 5,500 petrol pump outlets in 5 years",https://www.proquest.com/newspapers/reliance-bp-ink-new-fuel-retail-jv-set-up-5-500/docview/2268739251/se-2?accountid=7064,0.8383743762969971,0.0064651756547391,0.1551604866981506,Neutral,-0.0013277664511922582
7385,BP,ProQuest,2019-08-06,"RIL's 5,500 retail fuel outlets to sell petrol, diesel as Mukesh Ambani signs new JV with BP",https://www.proquest.com/newspapers/rils-5-500-retail-fuel-outlets-sell-petrol-diesel/docview/2268592372/se-2?accountid=7064,0.4706142656505108,0.0099455905146896,0.5194401070475577,Negative,-0.0013277664511922582
7382,BP,ProQuest,2019-08-07,"RIL signs pact with BP to supply aviation fuel, run retail outlets",https://www.proquest.com/newspapers/ril-signs-pact-with-bp-supply-aviation-fuel-run/docview/2268899514/se-2?accountid=7064,0.869522213935852,0.0069305780343711,0.1235472187399864,Neutral,-0.0015952386808651964
7381,BP,ProQuest,2019-08-12,Saudi Aramco investit 15 milliards de dollars dans le raffinage en Inde,https://www.proquest.com/newspapers/saudi-aramco-investit-15-milliards-de-dollars/docview/2271833774/se-2?accountid=7064,0.12877300381660461,0.02647331636399025,0.8447537124156952,Negative,-0.004346454470859351
7379,BP,ProQuest,2019-08-13,Mukesh Ambani's Reliance to get a foothold in global petrochemicals market with Aramco deal,https://www.proquest.com/newspapers/mukesh-ambanis-reliance-get-foothold-global/docview/2272847477/se-2?accountid=7064,0.6491880118846893,0.00732863601297135,0.34348333626985544,Neutral,0.01500684023167409
7380,BP,ProQuest,2019-08-13,Le pétrolier va investir 15 milliards de dollars dans le raffinage en Inde,https://www.proquest.com/newspapers/le-pétrolier-va-investir-15-milliards-de-dollars/docview/2272036418/se-2?accountid=7064,0.1122585795819759,0.027491268701851302,0.8602500855922699,Negative,0.01500684023167409
7377,BP,ProQuest,2019-08-14,"Yes! Aramco Paid a Premium for RIL Deal, and with Good Reason [Smart Investing]: BENEFITS to the Saudi giant include access to one of the fastest-growing markets for petroleum and a complex refinery infrastructure at a fraction of its free cash flow",https://www.proquest.com/newspapers/yes-aramco-paid-premium-ril-deal-with-good-reason/docview/2272477623/se-2?accountid=7064,0.4840574022382497,0.028700515627861,0.4872420895844698,Negative,-0.025268911142327544
7378,BP,ProQuest,2019-08-14,"Yes! Aramco Paid a Premium for RIL, and with Good Reason [Smart Investing]: BENEFITS to the Saudi giant include access to one of the fastest-growing markets for petroleum and a complex refinery infrastructure at a fraction of its free cash",https://www.proquest.com/newspapers/yes-aramco-paid-premium-ril-with-good-reason/docview/2272476627/se-2?accountid=7064,0.49359166249632835,0.025608473457396,0.4807998221367598,Neutral,-0.025268911142327544
7376,BP,ProQuest,2019-08-15,"Yes! Aramco paid a premium for RIL deal, and with good reason [Stock in news]",https://www.proquest.com/newspapers/yes-aramco-paid-premium-ril-deal-with-good-reason/docview/2272863772/se-2?accountid=7064,0.49776150286197657,0.02110933419317,0.48112915083765984,Neutral,-0.0057915480822334775
7375,BP,ProQuest,2019-08-17,Reliance Industries rating: Buy; deal to allay concerns on high debt level,https://www.proquest.com/newspapers/reliance-industries-rating-buy-deal-allay/docview/2274069207/se-2?accountid=7064,0.35131315886974335,0.00993973761796945,0.6387471407651901,Negative,0.015431453313070387
7373,BP,ProQuest,2019-08-19,RIL-BP may set up EV charging points at its fuel retail outlets,https://www.proquest.com/newspapers/ril-bp-may-set-up-ev-charging-points-at-fuel/docview/2275701201/se-2?accountid=7064,0.5058969557285309,0.02527385717257855,0.4688291698694229,Neutral,0.015431453313070387
7374,BP,ProQuest,2019-08-19,View: The whole concept of CSR needs rethinking [Politics and Nation],https://www.proquest.com/newspapers/view-whole-concept-csr-needs-rethinking-politics/docview/2274761699/se-2?accountid=7064,0.032391864806413595,0.4755055159330368,0.49210260808467865,Negative,0.015431453313070387
7371,BP,ProQuest,2019-08-26,Stephanie McShane | Holly Poultry,https://www.proquest.com/newspapers/stephanie-mcshane-holly-poultry/docview/2282353358/se-2?accountid=7064,0.051210593432188,0.0146527076140046,0.9341367483139038,Negative,0.0024855196425122017
7372,BP,ProQuest,2019-08-26,Los grandes bancos luchan por participar en la salida a Bolsa de Saudi Aramco,https://www.proquest.com/newspapers/los-grandes-bancos-luchan-por-participar-en-la/docview/2280205723/se-2?accountid=7064,0.12768118456006045,0.03078902140259735,0.8415298163890839,Negative,0.0024855196425122017
7370,BP,ProQuest,2019-08-27,BP to Exit Alaska With $5.6 Billion Sale; British oil company is selling all its Alaska oil and pipeline holdings to Hilcorp Energy,https://www.proquest.com/newspapers/bp-exit-alaska-with-5-6-billion-sale-british-oil/docview/2280635693/se-2?accountid=7064,0.1293461956083774,0.4542246013879776,0.41642921417951584,Positive,0.008264388343600215
7368,BP,ProQuest,2019-08-28,Business News: BP to Exit Alaska in Setback For State,https://www.proquest.com/newspapers/business-news-bp-exit-alaska-setback-state/docview/2281013778/se-2?accountid=7064,0.3053800761699676,0.0336921103298664,0.6609277725219727,Negative,0.006284087887730383
7369,BP,ProQuest,2019-08-28,"British Petroleum vend ses activités en Alaska pour 5,6 milliards de dollars",https://www.proquest.com/newspapers/british-petroleum-vend-ses-activités-en-alaska/docview/2280852576/se-2?accountid=7064,0.1105099990963935,0.0203503984957933,0.8691396117210388,Negative,0.006284087887730383
7366,BP,ProQuest,2019-08-29,Aramco estudia una salida a Bolsa en dos fases,https://www.proquest.com/newspapers/aramco-estudia-una-salida-bolsa-en-dos-fases/docview/2282298894/se-2?accountid=7064,0.2199198454618454,0.0318101812154054,0.7482700049877167,Negative,0.003258237924684826
7367,BP,ProQuest,2019-08-29,"'Make, Think, Imagine' Review: Paving the Road to Progress; Though making new things is a universal human trait, recognizing their value is not. Engineers turn creative ideas into practical ones.",https://www.proquest.com/newspapers/make-think-imagine-review-paving-road-progress/docview/2282283695/se-2?accountid=7064,0.0499093371133009,0.14079503590861955,0.80929563442866,Negative,0.003258237924684826
7365,BP,ProQuest,2019-08-30,Paving the Road To Progress,https://www.proquest.com/newspapers/paving-road-progress/docview/2282235406/se-2?accountid=7064,0.0489767901599407,0.13343925153215724,0.8175839384396871,Negative,0.0
7364,BP,ProQuest,2019-09-01,Markets Cover Story: Reliance Great Gamble Will It Pay Off?,https://www.proquest.com/newspapers/markets-cover-story-reliance-great-gamble-will/docview/2463687415/se-2?accountid=7064,0.486902010760137,0.10723699263430064,0.4058610030582973,Neutral,0.009743101974983182
7363,BP,ProQuest,2019-09-04,'Start trusting the private sector more and we will deliver': Anil Agarwal,https://www.proquest.com/newspapers/start-trusting-private-sector-more-we-will/docview/2283770077/se-2?accountid=7064,0.16879432648420328,0.02700563967227932,0.8042000532150269,Negative,0.009743101974983182
7362,BP,ProQuest,2019-09-09,Reliance Industries: Reinventing itself [ET Wealth]: There may be medium-term gain due to ongoing restructuring and debt reduction exercises.,https://www.proquest.com/newspapers/reliance-industries-reinventing-itself-et-wealth/docview/2286635424/se-2?accountid=7064,0.4889797493815422,0.016760175582021447,0.49426009878516197,Negative,0.0013350795551390071
7360,BP,ProQuest,2019-09-10,Stock pick of the week: Restructuring of Reliance Industries is good news [Wealth-Invest],https://www.proquest.com/newspapers/stock-pick-week-restructuring-reliance-industries/docview/2287064873/se-2?accountid=7064,0.516143724322319,0.0145601835101842,0.4692960828542709,Neutral,0.009066515256412666
7361,BP,ProQuest,2019-09-10,Stock pick: Is RIL up for a big bull run from here on? [Stock in news],https://www.proquest.com/newspapers/stock-pick-is-ril-up-big-bull-run-here-on-news/docview/2287059851/se-2?accountid=7064,0.516143724322319,0.0145601835101842,0.4692960828542709,Neutral,0.009066515256412666
