Ticker,Date,article_count,Finance,Production,Reserves_MA,Regulatory,Green_Energy,OG_Price,Neu_ratio_avg,Pos_ratio_avg,Neg_ratio_avg,Returns,Predicted_Class
BP,2019-02-20 00:00:00,1,1,1,0,0,0,1,0.5,0.5,0.0,0.0023595279004566816,1.0
BP,2019-04-30 00:00:00,2,2,2,2,0,2,0,0.3333333333333333,0.6666666666666666,0.0,0.016504169919609346,1.0
BP,2019-05-02 00:00:00,2,2,2,1,0,1,0,0.5,0.5,0.0,-0.010445644228547213,1.0
BP,2019-06-05 00:00:00,1,1,0,0,1,0,-1,0.5,0.3333333333333333,0.16666666666666666,-0.007737031365769975,1.0
BP,2019-07-06 00:00:00,1,0,0,0,0,0,0,1.0,0.0,0.0,0.023023891632830917,1.0
BP,2019-07-30 00:00:00,2,1,1,1,1,2,0,0.5,0.5,0.0,0.023023891632830917,1.0
BP,2019-07-31 00:00:00,1,1,1,0,1,0,-1,0.3333333333333333,0.5,0.16666666666666666,-0.0062515860602628814,1.0
BP,2019-10-29 00:00:00,2,2,1,0,0,2,-1,0.3333333333333333,0.5,0.16666666666666666,-0.03338449637598073,1.0
BP,2019-10-31 00:00:00,1,-1,0,0,0,0,0,0.8333333333333334,0.0,0.16666666666666666,-0.014300591923922523,1.0
BP,2019-11-06 00:00:00,1,0,0,0,0,0,0,1.0,0.0,0.0,-0.010795695379469783,1.0
BP,2020-01-02 00:00:00,1,1,0,1,0,0,-1,0.5,0.3333333333333333,0.16666666666666666,0.010598880495171992,1.0
BP,2020-01-08 00:00:00,1,-1,-1,0,0,0,-1,0.5,0.0,0.5,-0.015216787620131567,1.0
BP,2020-01-18 00:00:00,1,0,0,1,0,0,0,0.8333333333333334,0.16666666666666666,0.0,-0.02491002553986188,1.0
BP,2020-01-25 00:00:00,1,1,0,1,0,0,-1,0.5,0.3333333333333333,0.16666666666666666,-0.02491002553986188,1.0
BP,2020-02-03 00:00:00,1,0,0,0,0,0,0,1.0,0.0,0.0,-0.02491002553986188,1.0
BP,2020-02-05 00:00:00,1,-1,0,0,-1,0,-1,0.5,0.0,0.5,0.03205510252133159,1.0
BP,2020-02-13 00:00:00,1,-1,0,-1,0,0,-1,0.5,0.0,0.5,-0.009852018153051256,1.0
BP,2020-02-15 00:00:00,1,-1,0,1,0,0,-1,0.5,0.16666666666666666,0.3333333333333333,0.05973107868169758,1.0
BP,2020-02-22 00:00:00,1,0,0,1,0,0,-1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.05973107868169758,1.0
BP,2020-02-29 00:00:00,1,1,0,1,-1,0,0,0.5,0.3333333333333333,0.16666666666666666,0.05973107868169758,1.0
BP,2020-03-10 00:00:00,1,-1,-1,0,1,1,-1,0.16666666666666666,0.3333333333333333,0.5,0.05973107868169758,1.0
BP,2020-03-14 00:00:00,1,-1,0,1,0,0,-1,0.5,0.16666666666666666,0.3333333333333333,-0.0008200078000265565,1.0
